path,filename,class_name,label,n_masks,mask_paths,group,content_md5
Dataset_BUSI\benign\benign (116).png,benign (116).png,benign,0,1,Dataset_BUSI\benign\benign (116)_mask.png,19,31cc6d4604c2efa2f1e9bc03cd7199c5
Dataset_BUSI\benign\benign (117).png,benign (117).png,benign,0,1,Dataset_BUSI\benign\benign (117)_mask.png,20,fc3dce60e745119af429ff050a85f1df
Dataset_BUSI\benign\benign (118).png,benign (118).png,benign,0,1,Dataset_BUSI\benign\benign (118)_mask.png,21,d94b7ab79f5f02c4225897c7e86f48d1
Dataset_BUSI\benign\benign (119).png,benign (119).png,benign,0,1,Dataset_BUSI\benign\benign (119)_mask.png,19,4cb4eedf2faf799cab274d1442ab739b
Dataset_BUSI\benign\benign (12).png,benign (12).png,benign,0,1,Dataset_BUSI\benign\benign (12)_mask.png,22,2ecf9662e414b8aef1aa1c184e09b8ba
Dataset_BUSI\benign\benign (120).png,benign (120).png,benign,0,1,Dataset_BUSI\benign\benign (120)_mask.png,23,9d73e9545df5d6f9dc1634d332434576
Dataset_BUSI\benign\benign (121).png,benign (121).png,benign,0,1,Dataset_BUSI\benign\benign (121)_mask.png,24,c7a7202f72f7888779ca2ce8c8a001f2
Dataset_BUSI\benign\benign (122).png,benign (122).png,benign,0,1,Dataset_BUSI\benign\benign (122)_mask.png,19,36fc3f161b80135902ee4095889e4232
Dataset_BUSI\benign\benign (123).png,benign (123).png,benign,0,1,Dataset_BUSI\benign\benign (123)_mask.png,25,8da2b66468f2b516216879b36f62a276
Dataset_BUSI\benign\benign (124).png,benign (124).png,benign,0,1,Dataset_BUSI\benign\benign (124)_mask.png,26,a532eb5d310cec3650d6e43ee0fadd95
Dataset_BUSI\benign\benign (125).png,benign (125).png,benign,0,1,Dataset_BUSI\benign\benign (125)_mask.png,27,ac83a1fe701313c96859c53baa8f5a0c
Dataset_BUSI\benign\benign (126).png,benign (126).png,benign,0,1,Dataset_BUSI\benign\benign (126)_mask.png,28,bbd885b853dd9a7fa4c13c61c01e2af3
Dataset_BUSI\benign\benign (127).png,benign (127).png,benign,0,1,Dataset_BUSI\benign\benign (127)_mask.png,29,43f88676cb813c8d454522ff3445d11e
Dataset_BUSI\benign\benign (128).png,benign (128).png,benign,0,1,Dataset_BUSI\benign\benign (128)_mask.png,30,2c5acc668586659a111160ad242f0900
Dataset_BUSI\benign\benign (129).png,benign (129).png,benign,0,1,Dataset_BUSI\benign\benign (129)_mask.png,31,b7fbf49259d3cf063764c9fb43dbe9e1
Dataset_BUSI\benign\benign (13).png,benign (13).png,benign,0,1,Dataset_BUSI\benign\benign (13)_mask.png,32,fd188656239fe58f623a645bf6c2b625
Dataset_BUSI\benign\benign (130).png,benign (130).png,benign,0,1,Dataset_BUSI\benign\benign (130)_mask.png,33,dc26e7701befb492072a7cc426b57d90
Dataset_BUSI\benign\benign (131).png,benign (131).png,benign,0,1,Dataset_BUSI\benign\benign (131)_mask.png,34,b324fc6f5dda85a77e20ef7260f29508
Dataset_BUSI\benign\benign (132).png,benign (132).png,benign,0,1,Dataset_BUSI\benign\benign (132)_mask.png,35,1d6052ae8967f41b9fbd554037c52ee6
Dataset_BUSI\benign\benign (133).png,benign (133).png,benign,0,1,Dataset_BUSI\benign\benign (133)_mask.png,36,3236f55fa4771def1924bb4bb525c8ce
Dataset_BUSI\benign\benign (134).png,benign (134).png,benign,0,1,Dataset_BUSI\benign\benign (134)_mask.png,37,a57cc61fb7bcdc6eaf677e3aac788ee5
Dataset_BUSI\benign\benign (135).png,benign (135).png,benign,0,1,Dataset_BUSI\benign\benign (135)_mask.png,38,60f2f6ac548747d6fcca3babb2df56c6
Dataset_BUSI\benign\benign (136).png,benign (136).png,benign,0,1,Dataset_BUSI\benign\benign (136)_mask.png,39,5f60a246e70d07ef3145c91e8ce2ec86
Dataset_BUSI\benign\benign (137).png,benign (137).png,benign,0,1,Dataset_BUSI\benign\benign (137)_mask.png,40,25ff9c2d797545b910fab47ed69d8b08
Dataset_BUSI\benign\benign (138).png,benign (138).png,benign,0,1,Dataset_BUSI\benign\benign (138)_mask.png,41,9d6b01794a6c2301d888ad401b03a1b8
Dataset_BUSI\benign\benign (139).png,benign (139).png,benign,0,1,Dataset_BUSI\benign\benign (139)_mask.png,42,4a03ec688af5a652bf258809ad2b20d7
Dataset_BUSI\benign\benign (14).png,benign (14).png,benign,0,1,Dataset_BUSI\benign\benign (14)_mask.png,43,d5997e5d6b000f7a8542ec931920945b
Dataset_BUSI\benign\benign (140).png,benign (140).png,benign,0,1,Dataset_BUSI\benign\benign (140)_mask.png,44,6d02c9f04db2acf371352ab4d4db6e28
Dataset_BUSI\benign\benign (141).png,benign (141).png,benign,0,1,Dataset_BUSI\benign\benign (141)_mask.png,45,92936761efb06f152688165819a51e2f
Dataset_BUSI\benign\benign (142).png,benign (142).png,benign,0,1,Dataset_BUSI\benign\benign (142)_mask.png,46,72ef7dc2d4d1830ccb61f1a2da187e2f
Dataset_BUSI\benign\benign (143).png,benign (143).png,benign,0,1,Dataset_BUSI\benign\benign (143)_mask.png,47,b901100f6f7f3773fccf89a5031e9134
Dataset_BUSI\benign\benign (144).png,benign (144).png,benign,0,1,Dataset_BUSI\benign\benign (144)_mask.png,48,c1fcc96ea39d683c5f9aaca51bc481cb
Dataset_BUSI\benign\benign (145).png,benign (145).png,benign,0,1,Dataset_BUSI\benign\benign (145)_mask.png,49,045e5d1326e686274036f1125a2003c4
Dataset_BUSI\benign\benign (146).png,benign (146).png,benign,0,1,Dataset_BUSI\benign\benign (146)_mask.png,50,ec685985a6f134bea84db9a441b5bac3
Dataset_BUSI\benign\benign (147).png,benign (147).png,benign,0,1,Dataset_BUSI\benign\benign (147)_mask.png,51,4af9682aac2e401d6bec8c1ab6def49f
Dataset_BUSI\benign\benign (148).png,benign (148).png,benign,0,1,Dataset_BUSI\benign\benign (148)_mask.png,52,7cfc0f53fd3bd59c68c010a2288577d4
Dataset_BUSI\benign\benign (149).png,benign (149).png,benign,0,1,Dataset_BUSI\benign\benign (149)_mask.png,53,2105572ca087e2b12521e23e939cb7d9
Dataset_BUSI\benign\benign (15).png,benign (15).png,benign,0,1,Dataset_BUSI\benign\benign (15)_mask.png,54,d95e36290703efd7d4bb473cd34040a9
Dataset_BUSI\benign\benign (150).png,benign (150).png,benign,0,1,Dataset_BUSI\benign\benign (150)_mask.png,55,a8f52ac1f41c22955bef4a55d9cd1067
Dataset_BUSI\benign\benign (151).png,benign (151).png,benign,0,1,Dataset_BUSI\benign\benign (151)_mask.png,56,8a03dadf539b323511c12e62046b2da3
Dataset_BUSI\benign\benign (152).png,benign (152).png,benign,0,1,Dataset_BUSI\benign\benign (152)_mask.png,57,6c95bd1c2627327a5ff748336d6584d5
Dataset_BUSI\benign\benign (153).png,benign (153).png,benign,0,1,Dataset_BUSI\benign\benign (153)_mask.png,58,9570909160bde3c652a73e7108205570
Dataset_BUSI\benign\benign (154).png,benign (154).png,benign,0,1,Dataset_BUSI\benign\benign (154)_mask.png,59,2e7481d28df1e36ed24c4f60962712c9
Dataset_BUSI\benign\benign (155).png,benign (155).png,benign,0,1,Dataset_BUSI\benign\benign (155)_mask.png,60,f9fdbaeb1878536e7d3ff557f67adee0
Dataset_BUSI\benign\benign (156).png,benign (156).png,benign,0,1,Dataset_BUSI\benign\benign (156)_mask.png,7,4351a61d04a00ae89041e6c204b1403e
Dataset_BUSI\benign\benign (157).png,benign (157).png,benign,0,1,Dataset_BUSI\benign\benign (157)_mask.png,42,5e31a718de7f1c57ae44f1d9bdaee1b1
Dataset_BUSI\benign\benign (158).png,benign (158).png,benign,0,1,Dataset_BUSI\benign\benign (158)_mask.png,13,72e572d9f46c0310f8ec68c38203ae13
Dataset_BUSI\benign\benign (159).png,benign (159).png,benign,0,1,Dataset_BUSI\benign\benign (159)_mask.png,61,4bb261cd75e4468ac988ff179e6275ec
Dataset_BUSI\benign\benign (16).png,benign (16).png,benign,0,1,Dataset_BUSI\benign\benign (16)_mask.png,56,0a158a5634b6e9120f61648c2d29f8a3
Dataset_BUSI\benign\benign (160).png,benign (160).png,benign,0,1,Dataset_BUSI\benign\benign (160)_mask.png,62,9e518a81f0d2d0ce16eb64a02d9e51fe
Dataset_BUSI\benign\benign (161).png,benign (161).png,benign,0,1,Dataset_BUSI\benign\benign (161)_mask.png,63,b79d605a55fabb688282b8fd8cc487b6
Dataset_BUSI\benign\benign (162).png,benign (162).png,benign,0,1,Dataset_BUSI\benign\benign (162)_mask.png,64,51c923fd83ae6d3d1432b38ac08004b3
Dataset_BUSI\benign\benign (163).png,benign (163).png,benign,0,2,Dataset_BUSI\benign\benign (163)_mask.png|Dataset_BUSI\benign\benign (163)_mask_1.png,65,23ce18679320bdd9e95056f9ece492fe
Dataset_BUSI\benign\benign (164).png,benign (164).png,benign,0,1,Dataset_BUSI\benign\benign (164)_mask.png,66,178137613eef8adc276c0bc0ea2a30fb
Dataset_BUSI\benign\benign (165).png,benign (165).png,benign,0,1,Dataset_BUSI\benign\benign (165)_mask.png,67,91a7d0a0432d2eda990818547d666119
Dataset_BUSI\benign\benign (166).png,benign (166).png,benign,0,1,Dataset_BUSI\benign\benign (166)_mask.png,68,796d233e4bc896b817c764e3f5c53e85
Dataset_BUSI\benign\benign (167).png,benign (167).png,benign,0,1,Dataset_BUSI\benign\benign (167)_mask.png,69,5aafd8304185c5704f946c656b195bd7
Dataset_BUSI\benign\benign (168).png,benign (168).png,benign,0,1,Dataset_BUSI\benign\benign (168)_mask.png,70,577ad7102f7f77b6a0e7e0cbb98594a5
Dataset_BUSI\benign\benign (169).png,benign (169).png,benign,0,1,Dataset_BUSI\benign\benign (169)_mask.png,71,e65e17c57f9b8a03fa4d30174c72f674
Dataset_BUSI\benign\benign (17).png,benign (17).png,benign,0,1,Dataset_BUSI\benign\benign (17)_mask.png,72,ca551b4f3bfe20c07285ae317f183d08
Dataset_BUSI\benign\benign (170).png,benign (170).png,benign,0,1,Dataset_BUSI\benign\benign (170)_mask.png,73,faf8183fa63d947c68a33e976609f392
Dataset_BUSI\benign\benign (171).png,benign (171).png,benign,0,1,Dataset_BUSI\benign\benign (171)_mask.png,74,b6d9912e0d68e9cb377d2f74f0688bed
Dataset_BUSI\benign\benign (172).png,benign (172).png,benign,0,1,Dataset_BUSI\benign\benign (172)_mask.png,75,da73880a33f05724ad7563775a229d64
Dataset_BUSI\benign\benign (173).png,benign (173).png,benign,0,2,Dataset_BUSI\benign\benign (173)_mask.png|Dataset_BUSI\benign\benign (173)_mask_1.png,76,1ce1d2076f2b9daeb6b9f682985d0b7f
Dataset_BUSI\benign\benign (174).png,benign (174).png,benign,0,1,Dataset_BUSI\benign\benign (174)_mask.png,77,65a187e744d7fa8c6e55e39378db4989
Dataset_BUSI\benign\benign (175).png,benign (175).png,benign,0,1,Dataset_BUSI\benign\benign (175)_mask.png,78,23b277963d4abf3de2113ab44effaab1
Dataset_BUSI\benign\benign (176).png,benign (176).png,benign,0,1,Dataset_BUSI\benign\benign (176)_mask.png,79,62a6fc74f6c7e88f52299e7ac533fc0b
Dataset_BUSI\benign\benign (177).png,benign (177).png,benign,0,1,Dataset_BUSI\benign\benign (177)_mask.png,80,b87530f4543d885d6b3dd6377e489d52
Dataset_BUSI\benign\benign (178).png,benign (178).png,benign,0,1,Dataset_BUSI\benign\benign (178)_mask.png,81,5d17d596dc74a828b3846f57e4b2df56
Dataset_BUSI\benign\benign (179).png,benign (179).png,benign,0,1,Dataset_BUSI\benign\benign (179)_mask.png,82,42f21e06583241492217b8d534f51036
Dataset_BUSI\benign\benign (18).png,benign (18).png,benign,0,1,Dataset_BUSI\benign\benign (18)_mask.png,57,aade6cc1aa9186906a781d5a6b70e35d
Dataset_BUSI\benign\benign (180).png,benign (180).png,benign,0,1,Dataset_BUSI\benign\benign (180)_mask.png,83,f409b52697c58c141bed00693f7b278c
Dataset_BUSI\benign\benign (181).png,benign (181).png,benign,0,2,Dataset_BUSI\benign\benign (181)_mask.png|Dataset_BUSI\benign\benign (181)_mask_1.png,84,c3881e300595808c717c7d82de8a9c05
Dataset_BUSI\benign\benign (182).png,benign (182).png,benign,0,1,Dataset_BUSI\benign\benign (182)_mask.png,85,ac659abb87041ebdd03ca8ec56be3713
Dataset_BUSI\benign\benign (183).png,benign (183).png,benign,0,1,Dataset_BUSI\benign\benign (183)_mask.png,86,323f152e9684d0c7dbb013d8fd925767
Dataset_BUSI\benign\benign (184).png,benign (184).png,benign,0,1,Dataset_BUSI\benign\benign (184)_mask.png,87,e6f2e5ce3ca7e5d7bd1bca9c91b9c5a1
Dataset_BUSI\benign\benign (185).png,benign (185).png,benign,0,1,Dataset_BUSI\benign\benign (185)_mask.png,88,01b64ee3a409c17025f2212ebb3e4b60
Dataset_BUSI\benign\benign (186).png,benign (186).png,benign,0,1,Dataset_BUSI\benign\benign (186)_mask.png,89,034b984b01b64faeab214414b085f43d
Dataset_BUSI\benign\benign (187).png,benign (187).png,benign,0,1,Dataset_BUSI\benign\benign (187)_mask.png,90,97c00bf278bfecbbf8229422a7d44e7f
Dataset_BUSI\benign\benign (188).png,benign (188).png,benign,0,1,Dataset_BUSI\benign\benign (188)_mask.png,91,aa9f9334bf66310f31653d17eb7eebcc
Dataset_BUSI\benign\benign (189).png,benign (189).png,benign,0,1,Dataset_BUSI\benign\benign (189)_mask.png,92,bf847eac554a46ebc9fa017975b61b0f
Dataset_BUSI\benign\benign (19).png,benign (19).png,benign,0,1,Dataset_BUSI\benign\benign (19)_mask.png,55,6b61b3675d47024edaa4a9a542ad6f9c
Dataset_BUSI\benign\benign (190).png,benign (190).png,benign,0,1,Dataset_BUSI\benign\benign (190)_mask.png,93,bcb273c11f64a677a329c6f1682b9725
Dataset_BUSI\benign\benign (191).png,benign (191).png,benign,0,1,Dataset_BUSI\benign\benign (191)_mask.png,94,c51e18293071faab7e08efe5e29e44ac
Dataset_BUSI\benign\benign (192).png,benign (192).png,benign,0,1,Dataset_BUSI\benign\benign (192)_mask.png,95,6feeb91b832a0bf7e1cf488e89b23cc2
Dataset_BUSI\benign\benign (193).png,benign (193).png,benign,0,1,Dataset_BUSI\benign\benign (193)_mask.png,96,7bf7a04602a8a2c34f226238a72bf9a4
Dataset_BUSI\benign\benign (194).png,benign (194).png,benign,0,1,Dataset_BUSI\benign\benign (194)_mask.png,97,82a7b168602879dc1839b32935fe3dda
Dataset_BUSI\benign\benign (195).png,benign (195).png,benign,0,3,Dataset_BUSI\benign\benign (195)_mask.png|Dataset_BUSI\benign\benign (195)_mask_1.png|Dataset_BUSI\benign\benign (195)_mask_2.png,98,78a976853662c5d2d411208604971d75
Dataset_BUSI\benign\benign (196).png,benign (196).png,benign,0,1,Dataset_BUSI\benign\benign (196)_mask.png,99,50c6060a308b244416ca35c44dd1ed4f
Dataset_BUSI\benign\benign (197).png,benign (197).png,benign,0,1,Dataset_BUSI\benign\benign (197)_mask.png,100,49e15be62763dc04e409a79541620eef
Dataset_BUSI\benign\benign (198).png,benign (198).png,benign,0,1,Dataset_BUSI\benign\benign (198)_mask.png,101,d85aec3e3e4ffeb182f4577049bd05e7
Dataset_BUSI\benign\benign (199).png,benign (199).png,benign,0,1,Dataset_BUSI\benign\benign (199)_mask.png,102,ac3d6909a654345afe7f7a58df57f877
Dataset_BUSI\benign\benign (2).png,benign (2).png,benign,0,1,Dataset_BUSI\benign\benign (2)_mask.png,103,f5e619c6a2327cb2e10b147a74dee64b
Dataset_BUSI\benign\benign (20).png,benign (20).png,benign,0,1,Dataset_BUSI\benign\benign (20)_mask.png,104,ba57640f0d11b305bdc77dc41364a733
Dataset_BUSI\benign\benign (200).png,benign (200).png,benign,0,1,Dataset_BUSI\benign\benign (200)_mask.png,105,a3933aed0cbb391e5e3c0770aa1da1f5
Dataset_BUSI\benign\benign (201).png,benign (201).png,benign,0,1,Dataset_BUSI\benign\benign (201)_mask.png,106,cd8b03823f4ea3e7f35ae87f1160f856
Dataset_BUSI\benign\benign (202).png,benign (202).png,benign,0,1,Dataset_BUSI\benign\benign (202)_mask.png,107,d461293d255e914be0202dd541ae6329
Dataset_BUSI\benign\benign (203).png,benign (203).png,benign,0,1,Dataset_BUSI\benign\benign (203)_mask.png,108,15b3d45581a22ede45c2ef0dadb0785d
Dataset_BUSI\benign\benign (204).png,benign (204).png,benign,0,1,Dataset_BUSI\benign\benign (204)_mask.png,109,11d1675f3228d4a4695f225f9ac031b3
Dataset_BUSI\benign\benign (205).png,benign (205).png,benign,0,1,Dataset_BUSI\benign\benign (205)_mask.png,110,7171119e8c3427d71aaa41850b5126e6
Dataset_BUSI\benign\benign (206).png,benign (206).png,benign,0,1,Dataset_BUSI\benign\benign (206)_mask.png,111,730927e7e2f91b754c1145eae88c54eb
Dataset_BUSI\benign\benign (207).png,benign (207).png,benign,0,1,Dataset_BUSI\benign\benign (207)_mask.png,112,e329d9d27fdcae5bebd9764ec0885b2c
Dataset_BUSI\benign\benign (208).png,benign (208).png,benign,0,1,Dataset_BUSI\benign\benign (208)_mask.png,113,6b46f03cbf807f2d29d8ab0583e31e43
Dataset_BUSI\benign\benign (209).png,benign (209).png,benign,0,1,Dataset_BUSI\benign\benign (209)_mask.png,114,2624fd1a4349eff9ca59cd8d992a661b
Dataset_BUSI\benign\benign (21).png,benign (21).png,benign,0,1,Dataset_BUSI\benign\benign (21)_mask.png,115,3c84432775ad61a2473e954e78751a3b
Dataset_BUSI\benign\benign (210).png,benign (210).png,benign,0,1,Dataset_BUSI\benign\benign (210)_mask.png,116,b04cbb4d472f933bfc36cedf3efa3ba1
Dataset_BUSI\benign\benign (211).png,benign (211).png,benign,0,1,Dataset_BUSI\benign\benign (211)_mask.png,117,93e0cac8834f349b30a8047a62c2acb5
Dataset_BUSI\benign\benign (212).png,benign (212).png,benign,0,1,Dataset_BUSI\benign\benign (212)_mask.png,118,8e0575c70ecf4a38f1abab61e4943bc8
Dataset_BUSI\benign\benign (213).png,benign (213).png,benign,0,1,Dataset_BUSI\benign\benign (213)_mask.png,119,9a783136622d1d5b8e7ec9d64457e404
Dataset_BUSI\benign\benign (214).png,benign (214).png,benign,0,1,Dataset_BUSI\benign\benign (214)_mask.png,120,6851df42c4bd4f1f352a986240249cbc
Dataset_BUSI\benign\benign (215).png,benign (215).png,benign,0,1,Dataset_BUSI\benign\benign (215)_mask.png,121,9e1d528dfaa62eb19fb71752b462be4b
Dataset_BUSI\benign\benign (216).png,benign (216).png,benign,0,1,Dataset_BUSI\benign\benign (216)_mask.png,122,dccb50b217f9e4bd3421293191a19206
Dataset_BUSI\benign\benign (217).png,benign (217).png,benign,0,1,Dataset_BUSI\benign\benign (217)_mask.png,123,ca0f7b197b214c9aa46459f4fcd918db
Dataset_BUSI\benign\benign (218).png,benign (218).png,benign,0,1,Dataset_BUSI\benign\benign (218)_mask.png,124,1ab8f8a263e0a8878b98d72313fa41ce
Dataset_BUSI\benign\benign (219).png,benign (219).png,benign,0,1,Dataset_BUSI\benign\benign (219)_mask.png,125,a9b77ab58bd8a4cc132db32d6243a36e
Dataset_BUSI\benign\benign (22).png,benign (22).png,benign,0,1,Dataset_BUSI\benign\benign (22)_mask.png,126,a1e5bab83310a093e9b246e6b78f8db5
Dataset_BUSI\benign\benign (220).png,benign (220).png,benign,0,1,Dataset_BUSI\benign\benign (220)_mask.png,127,16781578d55696a1b20d34c93e924f87
Dataset_BUSI\benign\benign (221).png,benign (221).png,benign,0,1,Dataset_BUSI\benign\benign (221)_mask.png,128,e18e9641fdd7627232d03a518bb4241a
Dataset_BUSI\benign\benign (222).png,benign (222).png,benign,0,1,Dataset_BUSI\benign\benign (222)_mask.png,129,98b030f9b8fa0d6f101064885f604f28
Dataset_BUSI\benign\benign (223).png,benign (223).png,benign,0,1,Dataset_BUSI\benign\benign (223)_mask.png,130,7bd2070c1e979c94a2a34f67161e16a7
Dataset_BUSI\benign\benign (224).png,benign (224).png,benign,0,1,Dataset_BUSI\benign\benign (224)_mask.png,131,7054bea92ab056d3447aa8d992d01cc1
Dataset_BUSI\benign\benign (225).png,benign (225).png,benign,0,1,Dataset_BUSI\benign\benign (225)_mask.png,132,6c12e7adaeef0c0c2c82a37c877dd4c6
Dataset_BUSI\benign\benign (226).png,benign (226).png,benign,0,1,Dataset_BUSI\benign\benign (226)_mask.png,133,d7aa5d8e8373fd255542dc4d002cd1d1
Dataset_BUSI\benign\benign (227).png,benign (227).png,benign,0,1,Dataset_BUSI\benign\benign (227)_mask.png,134,2bbcdfd6e6bbac5269ab336558b4d5b9
Dataset_BUSI\benign\benign (228).png,benign (228).png,benign,0,1,Dataset_BUSI\benign\benign (228)_mask.png,135,b9ad43338c377052a630b4d9373bde3e
Dataset_BUSI\benign\benign (229).png,benign (229).png,benign,0,1,Dataset_BUSI\benign\benign (229)_mask.png,136,9dd4e9d5d9354dc78fc22641862858c0
Dataset_BUSI\benign\benign (23).png,benign (23).png,benign,0,1,Dataset_BUSI\benign\benign (23)_mask.png,137,98766e0b6de9606e603ff3f9dd9a8ed0
Dataset_BUSI\benign\benign (230).png,benign (230).png,benign,0,1,Dataset_BUSI\benign\benign (230)_mask.png,138,83d472224d85a6c600601edcea066ef5
Dataset_BUSI\benign\benign (231).png,benign (231).png,benign,0,1,Dataset_BUSI\benign\benign (231)_mask.png,139,733a5aaa9d09f6d3a06621bd6027fef8
Dataset_BUSI\benign\benign (232).png,benign (232).png,benign,0,1,Dataset_BUSI\benign\benign (232)_mask.png,140,7875acf51aaf8ad88ab12a89df231836
Dataset_BUSI\benign\benign (233).png,benign (233).png,benign,0,1,Dataset_BUSI\benign\benign (233)_mask.png,141,2aa721ed9c7375d719bf63c0053fc1a2
Dataset_BUSI\benign\benign (234).png,benign (234).png,benign,0,1,Dataset_BUSI\benign\benign (234)_mask.png,142,9f85bb0ef27eaddd64fd0a7f1cd39635
Dataset_BUSI\benign\benign (235).png,benign (235).png,benign,0,1,Dataset_BUSI\benign\benign (235)_mask.png,143,b75d8204a20a3d90f2b1f856c503e478
Dataset_BUSI\benign\benign (236).png,benign (236).png,benign,0,1,Dataset_BUSI\benign\benign (236)_mask.png,144,598bf3c6821c2300d759e8457cd2330f
Dataset_BUSI\benign\benign (237).png,benign (237).png,benign,0,1,Dataset_BUSI\benign\benign (237)_mask.png,145,2a4d4d163197f150cb27e4259974658d
Dataset_BUSI\benign\benign (238).png,benign (238).png,benign,0,1,Dataset_BUSI\benign\benign (238)_mask.png,146,70542f4d5898a46726d685878851c289
Dataset_BUSI\benign\benign (239).png,benign (239).png,benign,0,1,Dataset_BUSI\benign\benign (239)_mask.png,147,06152f99826cccc2aa7135071e96bb5b
Dataset_BUSI\benign\benign (24).png,benign (24).png,benign,0,1,Dataset_BUSI\benign\benign (24)_mask.png,148,2b7cc32b565e692df3106ff972d2acae
Dataset_BUSI\benign\benign (240).png,benign (240).png,benign,0,1,Dataset_BUSI\benign\benign (240)_mask.png,149,7f88ea809dcfbf85f5fd0e258aac8901
Dataset_BUSI\benign\benign (241).png,benign (241).png,benign,0,1,Dataset_BUSI\benign\benign (241)_mask.png,150,4308dd304755de0d187d1cd400ca941b
Dataset_BUSI\benign\benign (242).png,benign (242).png,benign,0,1,Dataset_BUSI\benign\benign (242)_mask.png,151,c8bfef87ef4677e85b5e60786e3605fd
Dataset_BUSI\benign\benign (243).png,benign (243).png,benign,0,1,Dataset_BUSI\benign\benign (243)_mask.png,152,a9636d8f5f0345cd59099e272750905d
Dataset_BUSI\benign\benign (244).png,benign (244).png,benign,0,1,Dataset_BUSI\benign\benign (244)_mask.png,153,83a4a8ec3ff15c033867eabb926012e2
Dataset_BUSI\benign\benign (245).png,benign (245).png,benign,0,1,Dataset_BUSI\benign\benign (245)_mask.png,154,a52dbbe36f3678635af275d3af96db34
Dataset_BUSI\benign\benign (246).png,benign (246).png,benign,0,1,Dataset_BUSI\benign\benign (246)_mask.png,155,44787483115d6f7c041503f544bd57d8
Dataset_BUSI\benign\benign (247).png,benign (247).png,benign,0,1,Dataset_BUSI\benign\benign (247)_mask.png,144,73de17750093657aa183a63e52923043
Dataset_BUSI\benign\benign (248).png,benign (248).png,benign,0,1,Dataset_BUSI\benign\benign (248)_mask.png,102,eca05beb0019569168c0d6f83bc819e6
Dataset_BUSI\benign\benign (249).png,benign (249).png,benign,0,1,Dataset_BUSI\benign\benign (249)_mask.png,109,d34b9a137a0c0d51caecb0cc463db671
