file_a,file_b,class_a,class_b,phash_hamming,exact_pixel_duplicate,label_conflict
benign (227).png,benign (250).png,benign,benign,2,False,False
benign (228).png,benign (306).png,benign,benign,2,False,False
benign (229).png,benign (259).png,benign,benign,4,False,False
benign (229).png,benign (280).png,benign,benign,4,False,False
benign (230).png,benign (252).png,benign,benign,2,False,False
benign (231).png,benign (295).png,benign,benign,2,False,False
benign (232).png,benign (276).png,benign,benign,2,False,False
benign (232).png,benign (287).png,benign,benign,2,False,False
benign (233).png,benign (299).png,benign,benign,0,False,False
benign (234).png,benign (261).png,benign,benign,0,False,False
benign (235).png,benign (294).png,benign,benign,0,False,False
benign (236).png,benign (247).png,benign,benign,2,False,False
benign (237).png,benign (264).png,benign,benign,4,False,False
benign (238).png,benign (300).png,benign,benign,2,False,False
benign (239).png,benign (258).png,benign,benign,2,False,False
benign (240).png,benign (255).png,benign,benign,4,False,False
benign (240).png,benign (277).png,benign,benign,2,False,False
benign (241).png,benign (266).png,benign,benign,2,False,False
benign (241).png,benign (279).png,benign,benign,0,False,False
benign (242).png,benign (288).png,benign,benign,4,False,False
benign (244).png,benign (251).png,benign,benign,6,False,False
benign (245).png,benign (305).png,benign,benign,4,False,False
benign (249).png,benign (282).png,benign,benign,2,False,False
benign (255).png,benign (277).png,benign,benign,2,False,False
benign (259).png,benign (280).png,benign,benign,0,False,False
benign (260).png,benign (281).png,benign,benign,4,False,False
benign (263).png,benign (278).png,benign,benign,2,False,False
benign (266).png,benign (279).png,benign,benign,2,False,False
benign (269).png,normal (1).png,benign,normal,2,False,True
benign (273).png,benign (289).png,benign,benign,2,False,False
benign (274).png,benign (290).png,benign,benign,0,False,False
benign (275).png,benign (297).png,benign,benign,0,False,False
benign (276).png,benign (287).png,benign,benign,2,False,False
benign (284).png,benign (285).png,benign,benign,2,False,False
benign (292).png,benign (293).png,benign,benign,2,False,False
benign (3).png,benign (320).png,benign,benign,2,False,False
benign (307).png,benign (419).png,benign,benign,4,False,False
benign (308).png,benign (424).png,benign,benign,4,False,False
benign (309).png,benign (422).png,benign,benign,0,False,False
benign (310).png,benign (423).png,benign,benign,2,False,False
benign (312).png,benign (421).png,benign,benign,0,False,False
benign (316).png,benign (426).png,benign,benign,2,False,False
benign (321).png,benign (4).png,benign,benign,4,False,False
benign (322).png,benign (5).png,benign,benign,0,False,False
benign (323).png,benign (6).png,benign,benign,2,False,False
benign (324).png,benign (7).png,benign,benign,2,False,False
benign (325).png,benign (8).png,benign,benign,0,False,False
benign (326).png,benign (9).png,benign,benign,4,False,False
benign (333).png,malignant (77).png,benign,malignant,4,False,True
benign (395).png,benign (411).png,benign,benign,2,False,False
benign (396).png,benign (413).png,benign,benign,2,False,False
benign (399).png,malignant (93).png,benign,malignant,0,False,True
benign (400).png,benign (412).png,benign,benign,2,False,False
benign (406).png,malignant (94).png,benign,malignant,2,False,True
benign (42).png,malignant (51).png,benign,malignant,0,False,True
benign (433).png,malignant (145).png,benign,malignant,0,True,True
benign (437).png,normal (34).png,benign,normal,2,False,True
benign (61).png,benign (94).png,benign,benign,2,False,False
benign (65).png,benign (99).png,benign,benign,2,False,False
benign (85).png,malignant (52).png,benign,malignant,2,False,True
malignant (10).png,malignant (112).png,malignant,malignant,2,False,False
malignant (109).png,malignant (13).png,malignant,malignant,4,False,False
malignant (110).png,malignant (12).png,malignant,malignant,4,False,False
malignant (111).png,malignant (15).png,malignant,malignant,6,False,False
malignant (114).png,malignant (123).png,malignant,malignant,4,False,False
malignant (114).png,malignant (14).png,malignant,malignant,4,False,False
malignant (116).png,malignant (18).png,malignant,malignant,0,False,False
malignant (118).png,malignant (119).png,malignant,malignant,4,False,False
malignant (123).png,malignant (14).png,malignant,malignant,2,False,False
malignant (17).png,malignant (88).png,malignant,malignant,2,False,False
malignant (34).png,malignant (92).png,malignant,malignant,4,False,False
malignant (4).png,malignant (5).png,malignant,malignant,4,False,False
malignant (6).png,malignant (8).png,malignant,malignant,6,False,False
malignant (6).png,malignant (9).png,malignant,malignant,6,False,False
malignant (7).png,malignant (8).png,malignant,malignant,6,False,False
malignant (7).png,malignant (9).png,malignant,malignant,6,False,False
malignant (8).png,malignant (9).png,malignant,malignant,0,False,False
malignant (96).png,malignant (97).png,malignant,malignant,2,False,False
normal (104).png,normal (107).png,normal,normal,0,False,False
normal (119).png,normal (30).png,normal,normal,2,False,False
normal (120).png,normal (33).png,normal,normal,6,False,False
normal (121).png,normal (31).png,normal,normal,2,False,False
normal (122).png,normal (25).png,normal,normal,2,False,False
normal (123).png,normal (29).png,normal,normal,2,False,False
normal (124).png,normal (27).png,normal,normal,2,False,False
normal (125).png,normal (22).png,normal,normal,2,False,False
normal (126).png,normal (28).png,normal,normal,2,False,False
normal (127).png,normal (32).png,normal,normal,4,False,False
normal (128).png,normal (24).png,normal,normal,2,False,False
normal (129).png,normal (35).png,normal,normal,2,False,False
normal (13).png,normal (5).png,normal,normal,2,False,False
normal (130).png,normal (26).png,normal,normal,2,False,False
normal (131).png,normal (19).png,normal,normal,2,False,False
normal (132).png,normal (20).png,normal,normal,6,False,False
normal (21).png,normal (63).png,normal,normal,2,False,False
normal (21).png,normal (64).png,normal,normal,2,False,False
normal (23).png,normal (81).png,normal,normal,4,False,False
normal (38).png,normal (43).png,normal,normal,4,False,False
normal (38).png,normal (50).png,normal,normal,2,False,False
normal (38).png,normal (53).png,normal,normal,2,False,False
normal (39).png,normal (48).png,normal,normal,4,False,False
normal (39).png,normal (56).png,normal,normal,2,False,False
normal (40).png,normal (46).png,normal,normal,4,False,False
normal (40).png,normal (59).png,normal,normal,2,False,False
normal (41).png,normal (44).png,normal,normal,2,False,False
normal (41).png,normal (47).png,normal,normal,2,False,False
normal (41).png,normal (61).png,normal,normal,6,False,False
normal (42).png,normal (45).png,normal,normal,2,False,False
normal (42).png,normal (49).png,normal,normal,2,False,False
normal (42).png,normal (62).png,normal,normal,2,False,False
normal (43).png,normal (50).png,normal,normal,2,False,False
normal (43).png,normal (53).png,normal,normal,6,False,False
normal (44).png,normal (47).png,normal,normal,2,False,False
normal (44).png,normal (61).png,normal,normal,6,False,False
normal (45).png,normal (49).png,normal,normal,0,False,False
normal (45).png,normal (62).png,normal,normal,0,False,False
normal (46).png,normal (59).png,normal,normal,6,False,False
normal (47).png,normal (61).png,normal,normal,4,False,False
normal (48).png,normal (56).png,normal,normal,2,False,False
normal (49).png,normal (62).png,normal,normal,0,False,False
normal (50).png,normal (53).png,normal,normal,4,False,False
normal (51).png,normal (52).png,normal,normal,2,False,False
normal (51).png,normal (54).png,normal,normal,2,False,False
normal (52).png,normal (54).png,normal,normal,4,False,False
normal (55).png,normal (67).png,normal,normal,4,False,False
normal (55).png,normal (68).png,normal,normal,2,False,False
normal (57).png,normal (67).png,normal,normal,6,False,False
normal (57).png,normal (68).png,normal,normal,6,False,False
normal (58).png,normal (60).png,normal,normal,0,False,False
normal (58).png,normal (69).png,normal,normal,2,False,False
normal (60).png,normal (69).png,normal,normal,2,False,False
normal (63).png,normal (64).png,normal,normal,2,False,False
normal (67).png,normal (68).png,normal,normal,6,False,False
normal (97).png,normal (98).png,normal,normal,4,False,False
